file,compare,region,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
./adapt_box/17302/17302_00053.swc,manual,VPM,6813,12.5664,8,46,98,53,634.623,991.465,186.8,1.99971,15112.5,94954.6,47477.3,560.402,609.655,8,0.902352,68.5102,1,77.0078,47.5951,1.21306
./adapt_box/17302/17302_00053.swc,recons,VPM,707,2463.01,4,42,87,46,640,992,188,2.81443,12743.4,100184,123644,580.228,604.318,9,0.94121,7.11494,0.943579,52.9682,45.4369,1.37429
./adapt_box/17302/17302_00065.swc,manual,LGd-ip,7705,12.5664,5,63,129,67,481.699,909.254,128.972,1.99974,15360.4,96512.2,48256.1,540.734,824.153,10,0.910686,58.7209,1,65.0421,57.9564,1.22052
./adapt_box/17302/17302_00065.swc,recons,LGd-ip,386,1256.64,3,21,43,23,546,918,130,2.51451,6929.9,49103.5,40964.8,590.845,913.392,8,0.906167,7.95349,0.939583,55.7613,41.645,1.45085
./adapt_box/17302/17302_00055.swc,manual,CP,9026,12.5664,6,55,114,60,675.072,1021.33,334.321,1.99978,18585.6,116777,58388.3,675.205,1827.05,16,0.854275,78.1667,1,75.6825,87.7837,1.15703
./adapt_box/17302/17302_00055.swc,recons,CP,606,2123.72,3,28,57,30,675.48,1022,338,3.00099,10918.3,95866.7,104905,673.991,1135.39,11,0.90189,9.61404,0.930279,53.4851,61.8738,1.36314
./adapt_box/17302/17302_00039.swc,manual,LGd-co,5331,12.5664,7,51,107,57,579.807,712.102,308.32,1.99962,12558.4,78906.5,39453.2,562.879,812.781,9,0.88974,48.8131,1,80.7035,63.1216,1.13945
./adapt_box/17302/17302_00039.swc,recons,LGd-co,372,1809.56,3,24,49,26,581.299,713.619,318,2.78387,6697.05,50078.1,56280.4,560.845,744.28,7,0.953902,6.57143,0.842661,65.2792,65.7804,1.20676
./adapt_box/17302/17302_00040.swc,manual,LGd-ip,7602,12.5664,7,65,135,71,798.846,611.035,189.728,1.99974,16203.5,101809,50904.7,558.183,719.45,8,0.887177,55.3037,1,77.1826,67.546,1.16005
./adapt_box/17302/17302_00040.swc,recons,LGd-ip,402,1256.64,4,22,46,25,802,612,193.7,2.77612,7217.19,52225.8,49204.2,561.448,661.019,8,0.915552,7.71739,0.884959,51.9108,48.1397,1.29104
